56	Colorado State	colorado-state	http://www.sports-reference.com/cfb/schools/colorado-state/	1902	2015	108	1055	493	531	31	.482	14	6	8	0	.429	-3.58	-2.78	3	15	W-L-T adjusted to 494-530-31 by NCAA.
57	Columbia	columbia	http://www.sports-reference.com/cfb/schools/columbia/	1870	1981	84	699	282	382	35	.428	1	1	0	0	1.000	-4.59	-1.70	2	1	
58	Connecticut	connecticut	http://www.sports-reference.com/cfb/schools/connecticut/	1979	2015	17	196	90	104	2	.464	5	3	2	0	.600	-2.80	-1.89	0	2	
59	Cornell	cornell	http://www.sports-reference.com/cfb/schools/cornell/	1888	1981	93	837	488	317	32	.602	0	0	0	0		2.17	-2.21	5	1	
60	Cornell College	cornell-college	http://www.sports-reference.com/cfb/schools/cornell-college/	1903	1903	1	9	1	8	0	.111	0	0	0	0		-14.48	-2.14	0	0	
61	Creighton	creighton	http://www.sports-reference.com/cfb/schools/creighton/	1927	1942	16	139	61	70	8	.468	0	0	0	0		-6.26	-5.08	0	1	
62	Cumberland	cumberland	http://www.sports-reference.com/cfb/schools/cumberland/	1903	1905	2	13	7	5	1	.577	0	0	0	0		5.07	-0.79	0	0	
63	Dartmouth	dartmouth	http://www.sports-reference.com/cfb/schools/dartmouth/	1881	1981	93	795	502	258	35	.653	0	0	0	0		3.47	-2.84	5	12	
64	Davidson	davidson	http://www.sports-reference.com/cfb/schools/davidson/	1902	1973	66	600	248	312	40	.447	1	0	1	0	.000	-7.33	-5.97	0	1	
65	Dayton	dayton	http://www.sports-reference.com/cfb/schools/dayton/	1956	1976	21	216	78	130	8	.380	0	0	0	0		-13.09	-8.45	0	0	
66	Del Monte Pre-Flight	del-monte-pre-flight	http://www.sports-reference.com/cfb/schools/del-monte-pre-flight/	1943	1943	1	8	7	1	0	.875	0	0	0	0		12.87	-6.25	1	0	
67	Denver	denver	http://www.sports-reference.com/cfb/schools/denver/	1902	1960	59	520	259	228	33	.530	2	0	2	0	.000	-4.12	-4.91	0	6	
68	Detroit Mercy	detroit-mercy	http://www.sports-reference.com/cfb/schools/detroit-mercy/	1927	1964	36	338	196	132	10	.595	0	0	0	0		0.21	-4.24	0	3	
69	Dickinson	dickinson	http://www.sports-reference.com/cfb/schools/dickinson/	1889	1910	18	173	84	79	10	.514	0	0	0	0		-3.35	-3.71	0	0	
70	Drake	drake	http://www.sports-reference.com/cfb/schools/drake/	1900	1985	73	666	316	326	24	.492	3	2	1	0	.667	-5.64	-5.74	0	7	
71	Drury	drury	http://www.sports-reference.com/cfb/schools/drury/	1907	1907	1	5	1	4	0	.200	0	0	0	0		-13.17	-3.97	0	0	
72	Duke	duke	http://www.sports-reference.com/cfb/schools/duke/	1922	2015	94	985	466	491	28	.487	11	3	8	0	.273	3.08	2.98	17	17	
73	Duquesne	duquesne	http://www.sports-reference.com/cfb/schools/duquesne/	1933	1950	14	132	80	49	3	.617	1	1	0	0	1.000	1.04	-2.38	3	0	
74	East Carolina	east-carolina	http://www.sports-reference.com/cfb/schools/east-carolina/	1965	2015	51	575	308	264	3	.538	16	7	9	0	.438	-1.78	-2.52	2	6	W-L-T adjusted to 309-263-3 by NCAA.
